session_id,session_title,canceled,description,session_type,start_time,end_time,recorded,skill_level,speakers,room,tracks,sponsored_by,cost
1002,How to get data out of complex documents using AI,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Learn how newsrooms get important information out of large volumes of documents (pdfs, audio transcripts) and vet the results to power reporting.</p>",Demo,2026-03-05T14:00:00.000Z,2026-03-05T15:00:00.000Z,True,Beginner,"['d0f63877', '163bd832', 'fe761d36']",White River D,"['AI', 'Tools & Tech']",,
1007,Everyone can be (and should be) a housing reporter,False,"<p class=""mt-4 leading-relaxed text-gray-800"">The housing crisis is touching communities of every size — not just coastal cities or low‑income renters. In this session, we’ll walk through practical data tools, sources, and reporting techniques to cover affordable housing challenges, evictions, and homelessness. Whether you’re new to the beat, jumping on a fast-moving daily story, or looking to deepen your expertise, you’ll learn accessible methods for finding, analyzing, and localizing housing data to produce clearer, more impactful reporting.</p>",Panel,2026-03-05T19:30:00.000Z,2026-03-05T20:30:00.000Z,True,Beginner,"['f420c20e', '36c5de14']",White River G,['Beat reporting'],,
1008,AI concepts you should know,False,"<p class=""mt-4 leading-relaxed text-gray-800"">AI, Machine Learning, Deep Learning ... what do these terms really mean, and what is the difference? Many journalists are still grappling with an explosion of buzzwords and concepts. This session aims to demystify the jargon and provide a clear, practical explanation of key AI terms and tools.</p>",Panel,2026-03-05T19:30:00.000Z,2026-03-05T20:30:00.000Z,True,Beginner,"['2766e3b1', '96bb1ebb', 'a2fe9a2d']",White River D,['AI'],,
1009,From delving into data to door knocking: Finding people behind the numbers and getting them to speak,False,"<p class=""mt-4 leading-relaxed text-gray-800"">You&#39;ve finished your FOIAs. You&#39;ve done the data analysis. You&#39;ve talked with experts. Now you&#39;re ready to put your story together. There&#39;s just one problem. You haven&#39;t yet spoken to the people who are impacted by the findings found in your research. In this panel, journalists from across the media landscape talk about ways they&#39;ve found people who are impacted by the topics they were covering and/or data they were researching. Plus, once you&#39;ve found the people, how do you convince them to go on the record? The panelists are here to answer your questions and talk about how they centered their stories around the people they found.</p>",Panel,2026-03-05T15:15:00.000Z,2026-03-05T16:15:00.000Z,True,Beginner,"['baa1030a', '4d3d118c', 'fd8ab9d8', 'cb928f11', 'e4fd15c3']",White River D,['Story ideas'],,
1012,Collaborating in an intergenerational workspace: let's get to yes,False,"<p class=""mt-4 leading-relaxed text-gray-800"">From Boomers to Alphas, there is currently a wider range of ages than ever trying to create extraordinary journalism side-by-side during ever-changing and unprecedented times. Technology has created levels of haves and have-nots, digital natives and cultural luddites. But at the end of the day, our teams are here to serve our audiences and our communities: together. Let&#39;s talk about ways we can collaborate and find common ground, even when it feels sticky or difficult.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Participants will come away with a framework for collaborative decision-making and have the chance to roleplay in groups, trying different mock scenarios among peers.</p>",Panel,2026-03-07T19:30:00.000Z,2026-03-07T20:30:00.000Z,True,Beginner,"['4f16ae15', '51a312a8', '6ced0df9']",White River I,['Career'],,
1013,Wanna get hired? Tales from the trenches,False,"<p class=""mt-4 leading-relaxed text-gray-800"">We&#39;re the hiring managers who&#39;ve seen it all: the 11-page resumes, the glamorized headshots in applicant packages, the ones that come with a reference letter from Mom.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">We also know what we&#39;re looking for when we get your materials, and we&#39;re ready to spill out secrets. Come ask us anything, about resumes, cover letters, interviewing, etc.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">Participants should walk away with an actionable tipsheet of ideas and ways to improve their job searching techniques and give their materials a boost.</p>",Master Class,2026-03-05T20:45:00.000Z,2026-03-05T23:00:00.000Z,False,Beginner,"['4f16ae15', '4e88909a']",102,['Career'],,0
1018,Immigration data and how to make sense of it,False,"<p class=""mt-4 leading-relaxed text-gray-800"">The Trump administration has drastically reshaped immigration enforcement. Newsrooms around the country are trying to make sense of what is happening to their communities. Join this panel to learn how reporters break down the most important immigration data sets and how that data can be used to tell both local and national stories.</p>",Panel,2026-03-07T16:30:00.000Z,2026-03-07T17:30:00.000Z,True,Beginner,"['a7f68cf1', 'd986a8f6', '8e98f960', '16a714c2']",White River G,['Beat reporting'],,
1021,Utilizing new police misconduct and employment databases,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Learn about using new, groundbreaking databases to track police misconduct and employment histories: the Police Records Access Project in California, ACLU of West Virginia/Dragline&#39;s Police Accountability Dashboard, the New York Police Disciplinary Records database, and the National Police Index. This hands-on session will also briefly cover other related police data projects around the country. This session is good for those with some experience using spreadsheets. Attendees will need to bring their own laptop (no tablets) to participate in this class.</p>",Demo,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,True,Beginner,"['6e7b30bb', '85627f6f', '2070c1b2', '8472cb66', '1e283dec']",White River E,"['Beat reporting', 'Local', 'Public records', 'Research', 'Tools & Tech', 'Story ideas']",,
1022,Using data to find sources,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Data can provide context, show trends, and debunk false claims. But journalists don&#39;t always recognize its power to elevate even the more traditional parts of reporting. Data analysis can help you find human sources (often with names and contact information in the spreadsheet itself). It can also help you pinpoint where to go for field reporting. We&#39;ll explore all these possibilities in this panel with a handful of examples you can take back to your newsroom.</p>",Panel,2026-03-05T16:30:00.000Z,2026-03-05T17:30:00.000Z,True,Beginner,"['bc201430', '7b7a4529', '98c68471', 'b5b24913']",White River D,['Story ideas'],,
1023,Demo: The Gun Violence Data Hub,False,"<p class=""mt-4 leading-relaxed text-gray-800"">Learn about the Gun Violence Data Hub, an initiative from The Trace, and how to use the data to report deeper and better stories in your own community. The Data Hub provides resources for newsrooms to bolster their U.S. gun violence knowledge, as well as an open data library of contextualized and well-documented datasets.</p>
<p class=""mt-4 leading-relaxed text-gray-800"">This session is good for those with some experience using spreadsheets. Attendees will need to bring their own laptop (no tablets) to participate in this class.</p>",Hands-on,2026-03-06T15:15:00.000Z,2026-03-06T16:15:00.000Z,False,Beginner,"['7b7a4529', '0b30b72a']",202,"['Data analysis', 'Story ideas']",,
